Pipe Line No|File Check Mark|Initial Load|Source DB Host|Source Port|Source Service Name|User Name|Source Table|Target DB Host|Target Port|Target Service Name|Target Name|Target Table|Incremental Check|Filter Check|Rename Check|Triggered By|Status
101|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
102|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
103|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
104|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
105|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
106|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
107|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
108|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
109|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
110|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
111|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
112|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
113|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
114|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
115|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
116|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
117|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
118|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
119|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
120|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
121|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
122|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
123|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
124|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
125|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
126|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
127|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|LOG_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|LOG_ARCHIVE|TRUE|FALSE|TRUE|Manual|FAILED
128|Checked|TRUE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|EMPLOYEES|10.0.0.60|1521|ORCLPDB|SHANKAR|EMPLOYEES_BKP|FALSE|FALSE|FALSE|Manual|SUCCESSFUL
129|Checked|FALSE|10.0.0.50|1521|ORCLPDB|PIPELINE_TEST|SALES_DATA|10.0.0.60|1521|ORCLPDB|SHANKAR|DAILY_SALES|TRUE|TRUE|FALSE|Scheduler|PENDING
